Iter  Part1  Part2  Part3  Part4  Part5  Part6  Part7  Part8  Part9  Part10  Part11  Part12  Part13  Part14  Part15  Part16  Part17  Part18  Part19  Part20  Part21  Part22  Part23  Part24  Part25  Part26  Part27  Part28  Part29  Part30  Part31  Part32  Part33  Part34  Part35  Part36  Part37  Part38  Part39  Part40  
1   1.9858598E-01   1.9165962E-01   2.5352383E-01   1.8711006E-01   1.9858598E-01   1.9929978E-01   2.5848068E-01   1.9058789E-01   1.8796609E-01   2.5362844E-01   1.9858598E-01   1.9058789E-01   2.5352383E-01   1.8711006E-01   2.5565590E-01   1.9858598E-01   2.5565590E-01   2.5288507E-01   2.5064672E-01   1.9929978E-01   2.0168396E-01   1.9929978E-01   2.6216666E-01   1.8796609E-01   1.9058789E-01   2.5633306E-01   2.0168396E-01   2.5565590E-01   2.8748639E-01   1.9929978E-01   1.9165962E-01   2.5529857E-01   2.5288507E-01   1.9929978E-01   1.8711006E-01   2.5546096E-01   1.9858598E-01   1.8796609E-01   1.9165962E-01   1.8711006E-01  
2   1.9858598E-01   1.8902778E-01   1.9011887E-01   1.8711006E-01   1.9858598E-01   1.9011887E-01   2.5055290E-01   1.9058789E-01   1.8796609E-01   2.5362844E-01   1.8902778E-01   1.9058789E-01   1.9011887E-01   1.8711006E-01   2.5228869E-01   1.9858598E-01   2.5228869E-01   2.5287950E-01   2.5064672E-01   1.9011887E-01   2.0168396E-01   1.9929978E-01   2.5287950E-01   1.8796609E-01   1.9058789E-01   2.5633306E-01   2.0026802E-01   1.8902778E-01   2.7811131E-01   1.9929978E-01   1.9165962E-01   2.5362844E-01   1.8902778E-01   1.9011887E-01   1.8711006E-01   2.5246884E-01   1.9858598E-01   1.8796609E-01   1.9165962E-01   1.8711006E-01  
3   1.9858598E-01   1.8796609E-01   1.9011887E-01   1.8711006E-01   1.9027430E-01   1.8796609E-01   1.9084064E-01   1.9058789E-01   1.8711006E-01   2.5362844E-01   1.8902778E-01   1.8796609E-01   1.9011887E-01   1.8711006E-01   1.8796609E-01   1.8711006E-01   1.8711006E-01   1.9837522E-01   1.9084034E-01   1.8711006E-01   1.9058789E-01   1.8796609E-01   1.8619739E-01   1.8796609E-01   1.9058789E-01   1.8711006E-01   1.8796609E-01   1.8902778E-01   1.9027430E-01   1.8590361E-01   1.8796609E-01   1.8619739E-01   1.8902778E-01   1.9011887E-01   1.8711006E-01   2.0168396E-01   1.8796609E-01   1.8619739E-01   1.8619739E-01   1.8711006E-01  
4   1.9858598E-01   1.8796609E-01   1.9011887E-01   1.8711006E-01   1.9027430E-01   1.8796609E-01   1.8788511E-01   1.9058789E-01   1.8711006E-01   2.5362844E-01   1.8902778E-01   1.8796609E-01   1.9011887E-01   1.8711006E-01   1.8796609E-01   1.8711006E-01   1.8711006E-01   1.9837522E-01   1.9084034E-01   1.8711006E-01   1.9011887E-01   1.8796609E-01   1.8619739E-01   1.8796609E-01   1.9058789E-01   1.8711006E-01   1.8796609E-01   1.8902778E-01   1.8788511E-01   1.8590361E-01   1.8788511E-01   1.8619739E-01   1.8902778E-01   1.9011887E-01   1.8711006E-01   2.0168396E-01   1.8796609E-01   1.8619739E-01   1.8619739E-01   1.8711006E-01  
5   1.9084064E-01   1.8796609E-01   1.9011887E-01   1.8692572E-01   1.9027430E-01   1.8619739E-01   1.8788511E-01   1.9011887E-01   1.8711006E-01   1.8743727E-01   1.8902778E-01   1.8796609E-01   1.9011887E-01   1.8692572E-01   1.8796609E-01   1.8619739E-01   1.8619739E-01   1.8619739E-01   1.8590361E-01   1.8711006E-01   1.9011887E-01   1.8796609E-01   1.8619739E-01   1.8788511E-01   1.8692572E-01   1.8711006E-01   1.8743727E-01   1.8590361E-01   1.8788511E-01   1.8590361E-01   1.8788511E-01   1.8619739E-01   1.8902778E-01   1.8743727E-01   1.8711006E-01   2.0168396E-01   1.8711006E-01   1.8619739E-01   1.8619739E-01   1.8711006E-01  
1   1.6545019E-01   1.5701479E-01   1.5701479E-01   1.0000000E+10   1.5701479E-01   2.4160692E-01   1.4215599E-01   2.5564158E-01   2.5767897E-01   2.5767897E-01   1.4215599E-01   1.7866959E-01   1.7866959E-01   1.8533305E-01   1.5701479E-01   2.4160692E-01   1.6630697E-01   1.0000000E+10   1.4215599E-01   1.6630697E-01   1.4215599E-01   1.5701479E-01   1.0000000E+10   1.6309816E-01   1.6309816E-01   2.5564158E-01   1.6545019E-01   1.6630697E-01   2.5564158E-01   1.4215599E-01   1.0000000E+10   1.6309816E-01   1.6630697E-01   2.4749557E-01   1.4215599E-01   1.6055929E-01   1.6055929E-01   1.6630697E-01   1.5701479E-01   1.6630697E-01  
6   1.9011887E-01   1.8590361E-01   1.8633023E-01   1.8692572E-01   1.9027430E-01   1.8590361E-01   1.8619739E-01   1.9011887E-01   1.8590361E-01   1.8619739E-01   1.8704790E-01   1.8692572E-01   1.8633023E-01   1.8692572E-01   1.8796609E-01   1.8619739E-01   1.8619739E-01   1.8619739E-01   1.8590361E-01   1.8590361E-01   1.8692572E-01   1.8619739E-01   1.8619739E-01   1.8788511E-01   1.8590361E-01   1.8692572E-01   1.8619739E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8788511E-01   1.8619739E-01   1.8590361E-01   1.8743727E-01   1.8590361E-01   2.0168396E-01   1.8633023E-01   1.8619739E-01   1.8619739E-01   1.8633023E-01  
7   1.9011887E-01   1.8590361E-01   1.8619739E-01   1.8692572E-01   1.9027430E-01   1.8590361E-01   1.8619739E-01   1.8692572E-01   1.8590361E-01   1.8619739E-01   1.8590361E-01   1.8692572E-01   1.8590361E-01   1.8692572E-01   1.8796609E-01   1.8619739E-01   1.8619739E-01   1.8619739E-01   1.8590361E-01   1.8590361E-01   1.8692572E-01   1.8590361E-01   1.8619739E-01   1.8788511E-01   1.8590361E-01   1.8590361E-01   1.8619739E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8788511E-01   1.8619739E-01   1.8590361E-01   1.8692572E-01   1.8590361E-01   1.8590361E-01   1.8633023E-01   1.8590361E-01   1.8619739E-01   1.8633023E-01  
8   1.9011887E-01   1.8590361E-01   1.8619739E-01   1.8633023E-01   1.8633023E-01   1.8590361E-01   1.8619739E-01   1.8619739E-01   1.8590361E-01   1.8619739E-01   1.8590361E-01   1.8633023E-01   1.8590361E-01   1.8692572E-01   1.8704790E-01   1.8619739E-01   1.8590361E-01   1.8619739E-01   1.8590361E-01   1.8590361E-01   1.8633023E-01   1.8590361E-01   1.8619739E-01   1.8633023E-01   1.8590361E-01   1.8590361E-01   1.8619739E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8619739E-01   1.8619739E-01   1.8590361E-01   1.8633023E-01   1.8590361E-01   1.8590361E-01   1.8633023E-01   1.8590361E-01   1.8619739E-01   1.8619739E-01  
9   1.8619739E-01   1.8590361E-01   1.8619739E-01   1.8619739E-01   1.8619739E-01   1.8590361E-01   1.8590361E-01   1.8619739E-01   1.8590361E-01   1.8619739E-01   1.8590361E-01   1.8633023E-01   1.8590361E-01   1.8692572E-01   1.8619739E-01   1.8619739E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8619739E-01   1.8590361E-01   1.8619739E-01   1.8619739E-01   1.8590361E-01   1.8590361E-01   1.8619739E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8619739E-01   1.8590361E-01   1.8619739E-01   1.8590361E-01   1.8590361E-01   1.8619739E-01   1.8590361E-01   1.8590361E-01   1.8619739E-01  
