Iter  Part  GoF  Model_Output  
1  1   2.8543640E-01   2.8543640E-01  
1  2   2.9126955E-01   2.9126955E-01  
1  3   1.0000000E+10   1.0000000E+10  
1  4   2.5465114E-01   2.5465114E-01  
1  5   1.9858598E-01   1.9858598E-01  
1  6   1.9929978E-01   1.9929978E-01  
1  7   2.8596680E-01   2.8596680E-01  
1  8   2.5407076E-01   2.5407076E-01  
1  9   2.0168396E-01   2.0168396E-01  
1  10   2.5362844E-01   2.5362844E-01  
1  11   1.0000000E+10   1.0000000E+10  
1  12   1.9165962E-01   1.9165962E-01  
1  13   2.5352383E-01   2.5352383E-01  
1  14   2.8575525E-01   2.8575525E-01  
1  15   2.8341023E-01   2.8341023E-01  
1  16   2.6779800E-01   2.6779800E-01  
1  17   2.5977773E-01   2.5977773E-01  
1  18   2.6216666E-01   2.6216666E-01  
1  19   2.5064672E-01   2.5064672E-01  
1  20   1.0000000E+10   1.0000000E+10  
1  21   2.6097392E-01   2.6097392E-01  
1  22   2.5633306E-01   2.5633306E-01  
1  23   2.6493397E-01   2.6493397E-01  
1  24   1.8796609E-01   1.8796609E-01  
1  25   1.9058789E-01   1.9058789E-01  
1  26   1.0000000E+10   1.0000000E+10  
1  27   2.5848068E-01   2.5848068E-01  
1  28   1.0000000E+10   1.0000000E+10  
1  29   2.8748639E-01   2.8748639E-01  
1  30   2.7559639E-01   2.7559639E-01  
1  31   2.5288507E-01   2.5288507E-01  
1  32   2.5529857E-01   2.5529857E-01  
1  33   2.5565590E-01   2.5565590E-01  
1  34   2.5440649E-01   2.5440649E-01  
1  35   2.7285152E-01   2.7285152E-01  
1  36   2.5546096E-01   2.5546096E-01  
1  37   1.0000000E+10   1.0000000E+10  
1  38   2.8711691E-01   2.8711691E-01  
1  39   2.5749760E-01   2.5749760E-01  
1  40   1.8711006E-01   1.8711006E-01  
2  1   2.5937568E-01   2.5937568E-01  
2  2   2.8370216E-01   2.8370216E-01  
2  3   2.6143237E-01   2.6143237E-01  
2  4   2.0026802E-01   2.0026802E-01  
2  5   2.5746349E-01   2.5746349E-01  
2  6   1.0000000E+10   1.0000000E+10  
2  7   1.0000000E+10   1.0000000E+10  
2  8   2.5606591E-01   2.5606591E-01  
2  9   2.6507793E-01   2.6507793E-01  
2  10   2.7662655E-01   2.7662655E-01  
2  11   2.8346376E-01   2.8346376E-01  
2  12   1.9180673E-01   1.9180673E-01  
2  13   1.9011887E-01   1.9011887E-01  
2  14   2.8621620E-01   2.8621620E-01  
2  15   2.5315309E-01   2.5315309E-01  
2  16   2.5829134E-01   2.5829134E-01  
2  17   1.0000000E+10   1.0000000E+10  
2  18   2.5287950E-01   2.5287950E-01  
2  19   2.6493397E-01   2.6493397E-01  
2  20   2.5246884E-01   2.5246884E-01  
2  21   1.0000000E+10   1.0000000E+10  
2  22   2.7811131E-01   2.7811131E-01  
2  23   2.5565590E-01   2.5565590E-01  
2  24   2.5840662E-01   2.5840662E-01  
2  25   2.5220927E-01   2.5220927E-01  
2  26   2.8341023E-01   2.8341023E-01  
2  27   2.5055290E-01   2.5055290E-01  
2  28   2.5853195E-01   2.5853195E-01  
2  29   2.7811131E-01   2.7811131E-01  
2  30   2.0322375E-01   2.0322375E-01  
2  31   2.5532930E-01   2.5532930E-01  
2  32   2.5362844E-01   2.5362844E-01  
2  33   2.5228869E-01   2.5228869E-01  
2  34   2.7875146E-01   2.7875146E-01  
